seed	pbn
81102611	N:JT7.986532.AQ8.4 K9542.KT.J72.AT3 86.QJ.K53.KJ9862 AQ3.A74.T964.Q75
81102698	N:A865.9632.KQ9.76 Q74.AT.8754.AQ32 J.Q875.62.KJT985 KT932.KJ4.AJT3.4
81102917	N:654.A5.KJ754.A97 Q972.864.A83.654 AK3.KQ972.T9.KQ3 JT8.JT3.Q62.JT82
81103386	N:932.K75.K75.T985 AK754.QJ4.J8.642 T8.T96.Q964.AKJ7 QJ6.A832.AT32.Q3
81103455	N:A9874.K6.J85.A74 QJ63.T54.T93.QT6 K52.Q83.AK76.J85 T.AJ972.Q42.K932
81103513	N:J6532.853.KT54.4 QT7.AJ942.93.A96 984.KQ.QJ8.K8532 AK.T76.A762.QJT7
81103879	N:AJ82.K9863.62.AK Q43.A52.984.T843 K65.Q7.AQT7.QJ97 T97.JT4.KJ53.652
81103931	N:T832.6542.93.AK4 54.AKQ83.KQ62.86 QJ96.T7.J5.J9753 AK7.J9.AT874.QT2
81103988	N:J6.AQ62.T97.AJ96 Q982.K54.J52.854 AT543.J873.AQ.KQ K7.T9.K8643.T732
81104160	N:J6.KQ432.K94.K76 9875.96.QJT85.95 AKT42.A8.A2.AJT3 Q3.JT75.763.Q842
81104586	N:A6.Q53.Q532.QJ52 QT9.KT7.AJ9.KT87 KJ832.J2.T764.63 754.A9864.K8.A94
81105135	N:KQJ73.T3.42.KQ74 964.AK8.T85.AJT2 AT8.Q962.AQJ7.96 52.J754.K963.853
81105264	N:Q6.K954.A95.KJT3 8752.QT83.Q2.982 AKJT3.J72.K87.Q6 94.A6.JT643.A754
81106528	N:K94.AQJ76.T4.J76 J73.832.A9865.K5 A86.K95.732.AQ94 QT52.T4.KQJ.T832
81107381	N:A43.AQ7432.2.T42 QJ5.KT5.KJ4.9875 T6.J98.AT95.AKQ6 K9872.6.Q8763.J3
81107459	N:AQ752.T2.T962.65 J3.KQ986.Q3.KQ73 T98.753.AK85.T92 K64.AJ4.J74.AJ84
81108179	N:742.8743.T53.J52 KQ865.A5.AK9.AQ8 JT3.Q6.Q874.9763 A9.KJT92.J62.KT4
81108867	N:J9.T7543.A52.AK5 87653.Q2.T8.J964 A42.KJ9.KJ963.Q3 KQT.A86.Q74.T872
81109855	N:T952.AJT5.KT63.8 KQJ86.43.A9.AK94 43.872.J872.JT53 A7.KQ96.Q54.Q762
81110829	N:Q84.643.J865.J72 A32.A52.AQ42.T95 KJT6.K7.973.A843 975.QJT98.KT.KQ6
81110942	N:84.Q62.976542.76 AJT.JT97.QJ.KJ43 Q32.A84.A8.AT982 K9765.K53.KT3.Q5
81112367	N:T6.KQ54.J6432.T5 KQ954.832.KQ.KJ9 J872.JT6.875.A32 A3.A97.AT9.Q8764
81112681	N:2.AQJ93.T963.AT2 JT85.K652.54.J73 AK974.T8.Q72.KQ9 Q63.74.AKJ8.8654
81113543	N:K3.KJT72.Q53.AJ8 54.AQ953.T964.K4 AQ7.64.AK7.T6532 JT9862.8.J82.Q97
81113880	N:A97.54.873.QT983 KQ842.K92.62.A52 J5.AT73.JT54.KJ6 T63.QJ86.AKQ9.74
81114391	N:A98.A9872.AT3.62 JT742.5.Q98.Q987 K53.QJ3.KJ62.KJ4 Q6.KT64.754.AT53
81116122	N:J8742.AKQJ.K2.Q9 QT6.5.QJ943.KT87 K9.T73.A876.AJ62 A53.98642.T5.543
81116489	N:J9.QT764.J7.8542 T5.KJ2.KQ942.QJ3 KQ63.985.T83.K96 A8742.A3.A65.AT7
81116678	N:KQT73.A72.965.Q8 J96.KT9.Q842.542 542.QJ3.A3.AJT73 A8.8654.KJT7.K96
81117911	N:QJ542.K9.72.AKQ2 A83.83.J953.T953 KT.QT2.AQT64.J86 976.AJ7654.K8.74
81118206	N:KT.QT96.J72.Q942 J42.AJ.QT6.AT875 63.K842.K943.KJ3 AQ9875.753.A85.6
81118447	N:A97654.Q75.KJ2.8 T3.AK432.83.K732 KQ8.JT86.A975.QT J2.9.QT64.AJ9654
81118707	N:-.K982.AQ9532.654 AK98542.T7.J7.J8 T76.AJ643.6.KQ32 QJ3.Q5.KT84.AT97
81118886	N:A9.KQT7.K732.J93 Q53.842.A84.AQ65 87.A965.JT96.T87 KJT642.J3.Q5.K42
81119033	N:T53.Q8742.43.J92 A9.A93.J765.K654 J82.JT5.Q92.AT87 KQ764.K6.AKT8.Q3
81119190	N:K7.T86.AQJT7.A94 98652.9.842.KQJ2 QT43.KQJ53.K.T85 AJ.A742.9653.763
81119991	N:64.KQT8752.KJ6.6 AT32.A4.T98.K982 K75.J93.AQ72.A53 QJ98.6.543.QJT74
81121393	N:K75.AQ6.QJ75.654 QJ.743.843.AJ832 AT9864.92.K9.KT9 32.KJT85.AT62.Q7
81121431	N:85.QJT43.AKJ2.Q9 AJT4.A87.T7.8643 Q96.K96.Q643.AK7 K732.52.985.JT52
81121669	N:KQ2.63.QJT8.AT73 A84.QT972.42.Q84 T9765.J8.AK95.K9 J3.AK54.763.J652
81122000	N:KT764.987.5.Q732 Q95.AQ543.9762.A J83.KJ.QJT3.J986 A2.T62.AK84.KT54
81123016	N:95.A965.AT5.A432 7.Q87.KJ64.QT986 KQT83.KJ4.Q3.KJ5 AJ642.T32.9872.7
81123208	N:AQJ54.J2.965.K64 -.8654.AT8742.J52 T82.AKT.KQ3.QT87 K9763.Q973.J.A93
81124100	N:QT3.J76.J96.8643 J82.KT52.AKT.K75 A9.Q43.8743.AJ92 K7654.A98.Q52.QT
81124643	N:95.J9742.K4.K953 AK643.Q53.AQ9.T7 JT72.T.JT62.Q642 Q8.AK86.8753.AJ8
81126007	N:AQJT6.A.T32.T542 K943.KQT86.5.K98 872.43.AQ86.AQJ6 5.J9752.KJ974.73
81127520	N:QJ53.Q83.Q8652.3 K8764.AT74.A9.A5 T2.J96.JT4.QJT72 A9.K52.K73.K9864
81128874	N:Q5.QJ984.A2.9865 J82.A72.KT87.AJ4 K43.653.654.K732 AT976.KT.QJ93.QT
81128886	N:J943.Q62.Q3.7653 7.KJT85.A652.KT9 QT8.A9743.KT9.Q4 AK652.-.J874.AJ82
81129785	N:AQ4.J764.KT6.Q64 92.985.AQJ543.75 T8763.AK3.7.KJT3 KJ5.QT2.982.A982
81130608	N:AK932.J74.63.K94 JT7.A853.A854.65 Q86.T9.KQ72.AQ72 54.KQ62.JT9.JT83
81130902	N:T87632.T.73.AJ75 J94.62.AQ65.KQ82 A5.J7543.942.T96 KQ.AKQ98.KJT8.43
81131184	N:K2.QJ2.987.J7653 QJ984.A76.KJ.Q98 A63.T954.T643.K4 T75.K83.AQ52.AT2
81131353	N:A7.AJ5.T83.KJT43 9842.T9.KQJ64.52 KT5.KQ8732.7.Q96 QJ63.64.A952.A87
81132383	N:J9754.9.AQT6.KJ2 AK8.QJ432.J94.53 QT3.KT75.873.964 62.A86.K52.AQT87
81132964	N:53.QJT3.T43.AQJT AT872.A9.QJ6.864 J64.K865.952.K32 KQ9.742.AK87.975
81133605	N:QJ762.J74.542.J4 K4.QT853.AJT.KT7 9.K62.983.A98653 AT853.A9.KQ76.Q2
81134290	N:92.QJ75.J94.K986 54.T84.AQ72.AQ54 T863.A963.KT.732 AKQJ7.K2.8653.JT
81134306	N:K985.A3.T94.9763 A42.T64.A53.AQ82 JT3.KJ7.Q872.T54 Q76.Q9852.KJ6.KJ
81134487	N:QJ742.J6.T87.AQJ KT5.Q87.KQ64.T86 A93.AKT9.952.K53 86.5432.AJ3.9742
81134671	N:KQJ62.QT5.543.KT A75.J8.KJ82.8653 T98.A7.Q96.AQJ97 43.K96432.AT7.42
81136021	N:KJ6.J6.KT52.AJ54 82.A9742.J76.T76 AQ543.T53.Q93.K9 T97.KQ8.A84.Q832
81136514	N:JT86.QJ8.854.QT4 Q54.T2.KQ2.AJ875 9732.A53.T963.63 AK.K9764.AJ7.K92
81137218	N:T765.Q5.K84.Q874 K42.AJ873.Q53.J3 AQ3.T92.AT72.962 J98.K64.J96.AKT5
81137406	N:3.T87542.A82.AJ2 A74.AJ6.J974.Q53 T985.K9.QT.KT964 KQJ62.Q3.K653.87
81138357	N:J95.85.KJ752.AK5 63.Q62.AT6.Q8763 AQ874.A9.83.JT42 KT2.KJT743.Q94.9
81138430	N:J6.AK754.KJ2.A74 Q975.T8632.84.T2 A84.Q9.AT95.K865 KT32.J.Q763.QJ93
81139243	N:97542.32.6.JT974 AKQ83.J9.AQ2.Q62 JT6.Q754.KJT43.K -.AKT86.9875.A853
81139787	N:K7.Q74.96543.985 A96.AK953.J2.KQ3 QJT82.J82.7.J642 543.T6.AKQT8.AT7
81140853	N:A76.J986.AT5.AT6 T9.A7542.KQ7.753 Q8432.KQ.J84.K84 KJ5.T3.9632.QJ92
81141150	N:J4.Q653.K962.Q72 K95.A4.J854.A943 QT3.T9872.QT3.KJ A8762.KJ.A7.T865
81141194	N:J96.KQ652.J5.A75 T32.A4.9763.K642 AK7.J83.AT4.QT98 Q854.T97.KQ82.J3
81141618	N:J2.KQ865.9753.43 A75.T3.AQ642.KT8 864.AJ42.KT.Q952 KQT93.97.J8.AJ76
81141846	N:T8754.Q87.764.AQ K93.932.AKT9.KJ8 AJ6.T6.Q82.T9753 Q2.AKJ54.J53.642
81141972	N:854.JT6532.J43.5 KQ92.AQ987.K7.A2 JT6.-.A9862.QJ963 A73.K4.QT5.KT874
81142249	N:Q3.KQT7.AJ72.T98 T86.543.984.AQJ3 AKJ95.J6.KQT.742 742.A982.653.K65
81142297	N:T87543.K4.K95.A6 6.Q873.A863.JT92 AKQ.T52.QT2.Q743 J92.AJ96.J74.K85
81142747	N:QJ.AQ653.A85.Q86 A42.T98.96.KJ952 876.KJ.KJ43.A743 KT953.742.QT72.T
81143151	N:K8753.98.A8.AKT8 Q4.A62.KT963.943 AJ.KQT73.J54.Q72 T962.J54.Q72.J65
81144243	N:AQT94.32.Q5.QJ64 J85.A54.JT8642.3 632.QJT7.A9.AK97 K7.K986.K73.T852
81144430	N:A93.AQ852.5.QT53 Q8.JT9.A9763.J76 JT7.K74.K82.AK84 K6542.63.QJT4.92
81145272	N:62.AJ754.K83.QJ2 KJT7.Q2.J94.K984 AQ3.KT9.T62.AT73 9854.863.AQ75.65
81146127	N:Q543.54.KQT.JT43 AKJT9.AQT9.32.K7 86.8763.J74.Q986 72.KJ2.A9865.A52
81146538	N:KQ65.KT7.84.J762 A42.654.AT65.AT4 J.J9832.K932.Q95 T9873.AQ.QJ7.K83
81146618	N:AJ6.KQT82.43.J95 T2.A7.KJT7.QT642 984.965.AQ8.AK83 KQ753.J43.9652.7
81146951	N:QT5.T98763.7.J74 AK876.AJ5.J632.A J94.Q2.KT9.K8632 32.K4.AQ854.QT95
81147874	N:J96.KQJT6.KT4.J7 KT73.75.973.T986 82.A92.J862.AKQ2 AQ54.843.AQ5.543
81148597	N:J63.AQT3.KT.AT43 Q9.964.A973.KJ72 AK852.J7.J85.Q65 T74.K852.Q642.98
81148682	N:AK873.Q96.K.T743 962.AK742.876.K6 QT4.JT.AQT32.QJ8 J5.853.J954.A952
81148691	N:A93.Q873.743.QT4 QT542.J6.K2.AKJ8 J76.KT92.Q95.653 K8.A54.AJT86.972
81149823	N:A85.Q653.Q7.J642 KJ963.K74.96.KQ5 Q7.982.AJT43.T98 T42.AJT.K852.A73
