51	S	EW	J93.843.A753.KJ9	A42.J9.T64.T7642
52	W	Both	AQ5.AQ985.Q5.743	K976.K7.T732.K52
53	N	NS	K75.53.AK965.T52	AT432.KQT642..A8
54	E	EW	J543.53.QT94.Q75	T9.AKQJ98.6.AJ96
55	S	Both	AQ75.742.Q43.Q87	J42.QT5.A5.AJ953
56	W	None	K96.AK92.J2.KJ96	J542.653.Q4.A754
57	N	EW	A82.AQ75.AQ6.KJ8	KJ643.J63.3.Q765
58	E	Both	KJ64.AQ765.AKQ.7	87.83.T72.AJT862
59	S	None	AKJ3.T96.AQ8.JT9	8.KQJ75.K3.A8753
60	W	NS	9.6532.J85.KT763	J765.J8.AQT4.AQ4
61	N	Both	Q9.AKQT.AQ7.A762	32.97.KT952.KJ94
62	E	None	8.KJ98.Q832.KT53	QJ.T753.KT95.A94
63	S	NS	QT65.K97.KT8.A84	83.854.9762.Q752
64	W	EW	J763.QJ5.T53.KQ3	5.A8643.82.JT974
65	N	None	K7.A2.A9632.QJ97	T6.T98.JT875.KT8
66	E	NS	T98.963.QJT6.K52	KQ52.J2.7542.T84
67	S	EW	975.T.KJ72.K9532	T8.QJ983.T5.QJT8
68	W	Both	JT83.732.QT.K743	AK9654.Q5.A65.AT
69	N	NS	T9865.982.93.Q52	J4.AQT75.AT54.AK
70	E	EW	KJ9.T.K853.96432	AT6432.AQ.QJ.AJ7
71	S	Both	543.K3.AJ6.AJ843	KJT.Q62.K987.Q96
72	W	None	J87.9743.AQ52.Q4	62.KT65.73.KT875
73	N	EW	AKT6.J2.A76.QT65	7.A874.KQ2.AK942
74	E	Both	KT432.QT9.3.AQ95	Q.KJ8653.A654.82
75	S	None	Q98763.4.AJ43.63	T54.AK6.Q86.AKJ9
76	W	NS	KT83.J42.876.KJT	AQ5.KT93.93.A873
77	N	Both	AK63.KJT.J.Q9742	Q754.8432.AK763.
78	E	None	K9742.K4.QJ2.862	QT5.Q875.K75.J93
79	S	NS	43.T3.QJT862.J87	876.K752.AK95.T5
80	W	EW	AK.74.KJ9643.QT6	6532.KQ9.AT5.AK3
81	N	None	QJ85.T3.954.Q432	A74.AKJ65.Q83.95
82	E	NS	AQ9.Q95.854.AKT6	K63.AJT84.A2.J54
83	S	EW	AQJ9863.AT5.2.97	4.QJ872.Q4.KJT65
84	W	Both	98532.T52.AT9.A8	AQJ.Q76.J752.T53
85	N	NS	T432.T98.KQT52.T	J98765.KJ7.A.KQ9
86	E	EW	K98.85.A3.AJ9653	QT432.32.T96.KT8
87	S	Both	J983.Q3.AJ9.KJ65	KQT.AKJ7.762.Q97
88	W	None	T76532.T.A54.Q83	AQJ9.A843.3.T652
89	N	EW	KJT2.T.AT62.T987	75.Q962.KJ7.QJ32
90	E	Both	Q.AQ952.AJ62.A32	K9873.T3.KT9.987
91	S	None	Q.A52.AQ9852.QJT	AKJ87.63.K63.A93
92	W	NS	AJ8.K643.K6.AJ76	KQT95.T72.A754.9
93	N	Both	8643.QT985.Q76.8	KJ9.J4.J83.AKQT9
94	E	None	AKJ9763.7.3.T764	.43.QT9642.AKQ32
95	S	NS	4.95.AQ654.AT975	62.A7432.T2.KJ62
96	W	EW	AQJ6.KT654.Q.A85	7.732.A8765.KT64
97	N	None	Q982.AK8.J2.Q963	AKJ.J75432.73.75
98	E	NS	KT7432.A76..KJ43	A.K92.QJ654.Q875
99	S	EW	A3.K9764.J43.JT9	J984.83.62.Q7542
100	W	Both	A86.QT842.AT3.85	KQ543.J5.8.JT974
